0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:13:01 -0300] "GET /kitnetsrecife/images/img_11.jpg HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:13:01 -0300] "GET /kitnetsrecife/images/img_12.jpg HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:13:01 -0300] "GET /kitnetsrecife/images/img_13.jpg HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:13:01 -0300] "GET /kitnetsrecife/images/img_14.jpg HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:45:43 -0300] "GET /kitnetsrecife/index.html HTTP/1.1" 200 9246
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:45:49 -0300] "GET /kitnetsrecife/blog.html HTTP/1.1" 200 13343
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:45:49 -0300] "GET /kitnetsrecife/images/img_3.jpg HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:45:49 -0300] "GET /kitnetsrecife/fonts/ionicons/fonts/ionicons.ttf?v=2.0.0 HTTP/1.1" 200 188508
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:45:57 -0300] "GET /kitnetsrecife/about.html HTTP/1.1" 200 10678
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:45:57 -0300] "GET /kitnetsrecife/images/person_1.jpg HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:45:57 -0300] "GET /kitnetsrecife/images/person_2.jpg HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [30/Oct/2018:23:45:57 -0300] "GET /kitnetsrecife/images/person_3.jpg HTTP/1.1" 404 1115
